PHU_NAME,POP
Toronto,3120358.00
Peel Region,1605952.00
York Region,1225797.00
Windsor-Essex,424830.00
Durham Region,712402.00
Ottawa,1054656.00
Hamilton,592163.00
Waterloo Region,584361.00
Halton Region,619087.00
Wellington-Dufferin-Guelph,311908.00
Simcoe Muskoka,599589.00
Middlesex-London,507524.00
Lambton,130964.00
Niagara Region,472485.00
"Leeds, Grenville & Lanark",173170.00
Chatham-Kent,106317.00
Eastern Ontario,208711.00
Brant County,155203.00
"Haliburton, Kawartha, Pine Ridge",188937.00
Renfrew County,108631.00
Southwestern,211498.00
Haldimand-Norfolk,114081.00
Peterborough,147977.00
Huron Perth,139757.00
North Bay Parry Sound District,129752.00
Porcupine,83441.00
Northwestern,87675.00
Algoma,114434.00
Grey Bruce,169884.00
Hastings Prince Edward,168493.00
Thunder Bay District,149960.00
Timiskaming,32689.00
"Kingston, Frontenac and Lennox & Addington",212719.00
Sudbury and Districts,199023.00